,m1,m2,m3
alina/1,0.0078125,600.2950341701508,0.13164710998535156
alina/2,0.01953125,612.0211030244827,0.12067675590515137
alina/3,0.01953125,607.3423929214478,0.1216745376586914
alina/4,0.0078125,635.0162683725357,0.1461348533630371
alina/5,0.0234375,624.422988653183,0.11768817901611328
alina/6,0.0390625,633.4050606489182,0.11269855499267578
alina/7,0.015625,609.5023525953293,0.14213013648986816
alina/8,0.0,588.9194593429565,0.15111207962036133
alina/9,0.00390625,667.052693605423,0.10423016548156738
alina/10,0.06640625,592.1091040968895,0.11569023132324219
alina/11,0.0078125,592.1564116477966,0.15358853340148926
alina/12,0.015625,599.6159437894821,0.13963651657104492
alina/13,0.0234375,596.2737246751785,0.17054390907287598
alina/14,0.00390625,611.7093894481659,0.16755199432373047
alina/15,0.01953125,636.5664259195328,0.11668801307678223
alina/16,0.0234375,607.8257108926773,0.12068462371826172
alina/17,0.05859375,585.8587211370468,0.1296546459197998
alina/18,0.015625,614.93912088871,0.13810396194458008
alina/19,0.00390625,601.6717842817307,0.13996505737304688
alina/20,0.0,613.3154454231262,0.1480119228363037
alina/21,0.0078125,587.7466588020325,0.14107131958007812
alina/22,0.015625,589.0290729999542,0.14798426628112793
alina/23,0.015625,651.8094259500504,0.11901450157165527
alina/24,0.015625,613.7863395214081,0.1241903305053711
alina/25,0.0390625,640.9479563236237,0.1216745376586914
alina/26,0.484375,435.4020415097475,0.12167787551879883
alina/27,0.01171875,633.0695788860321,0.11369490623474121
alina/28,0.01171875,599.580867767334,0.11070442199707031
alina/29,0.00390625,639.1290973424911,0.1429126262664795
alina/30,0.01171875,597.8104211091995,0.12710928916931152
alina/31,0.0234375,682.1239476203918,0.10700273513793945
alina/32,0.01953125,630.6206319332123,0.12207412719726562
alina/33,0.01953125,616.5093022584915,0.10995268821716309
alina/34,0.015625,610.9006173610687,0.11377477645874023
alina/35,0.0234375,640.3510679006577,0.12366676330566406
alina/36,0.01171875,613.0768885612488,0.11269950866699219
alina/37,0.01171875,610.9201776981354,0.12994670867919922
alina/39,0.01953125,603.1045676469803,0.1849656105041504
alina/40,0.0234375,597.3269064426422,0.11603140830993652
alina/41,0.015625,600.9888483285904,0.1414041519165039
alina/42,0.0234375,598.1504144668579,0.15596961975097656
alina/43,0.0078125,622.4374819993973,0.13699746131896973
alina/44,0.0078125,615.608629822731,0.12305068969726562
alina/45,0.01171875,626.8965009450912,0.12619686126708984
alina/46,0.03515625,601.1563981771469,0.11369466781616211
alina/47,0.04296875,610.2313780784607,0.10822343826293945
alina/48,0.0234375,642.3842240571976,0.0977323055267334
alina/49,0.01953125,624.693323969841,0.09774327278137207
alina/50,0.01953125,589.7328231334686,0.13364315032958984
alina/51,0.0234375,583.5651749372482,0.12865495681762695
alina/52,0.00390625,630.6185817718506,0.09373950958251953
alina/53,0.02734375,652.4236001968384,0.0937490463256836
alina/54,0.046875,602.152495265007,0.09275269508361816
alina/55,0.04296875,615.6646640300751,0.09873628616333008
alina/56,0.05078125,673.5371594429016,0.08975934982299805
alina/57,0.0390625,691.3248822689056,0.11211109161376953
alina/58,0.01953125,623.6559835672379,0.11292457580566406
alina/59,0.01171875,647.4890578985214,0.11169815063476562
alina/60,0.01171875,652.4526221752167,0.09525609016418457
alina/61,0.015625,641.5691179037094,0.09724664688110352
alina/62,0.03125,623.5511054992676,0.08777284622192383
alina/63,0.01953125,603.753281712532,0.09075736999511719
alina/64,0.01171875,681.3409956693649,0.09574532508850098
alina/65,0.01171875,651.9330662488937,0.11173510551452637
alina/66,0.05859375,702.1098434925079,0.10280084609985352
alina/67,0.0234375,636.2504713535309,0.11559200286865234
alina/68,0.02734375,692.7631356716156,0.10204887390136719
alina/69,0.07421875,666.4280047416687,0.09998703002929688
alina/70,0.03515625,650.2475390434265,0.0961606502532959
alina/71,0.0234375,636.6906434297562,0.10172748565673828
alina/72,0.03515625,654.0554525852203,0.1077115535736084
alina/73,0.02734375,640.2405480146408,0.0860898494720459
alina/74,0.01953125,603.0213207006454,0.0997319221496582
alina/75,0.01171875,674.7707476615906,0.2473437786102295
alina/76,0.00390625,658.9390799999237,0.08975982666015625
alina/77,0.015625,642.769743680954,0.10024118423461914
alina/78,0.03125,607.6247421503067,0.08676838874816895
alina/79,0.08984375,592.6362873315811,0.09873557090759277
alina/80,0.08203125,592.7731980085373,0.09275555610656738
alina/81,0.078125,595.8578907251358,0.09972953796386719
alina/82,0.0,623.8866012096405,0.10073018074035645
alina/83,0.02734375,624.2897381782532,0.34049081802368164
alina/84,0.01953125,653.3226808309555,0.13202548027038574
alina/85,0.0625,588.7786500453949,0.11689114570617676
alina/86,0.01171875,661.5972090959549,0.11202716827392578
alina/87,0.01953125,652.6865230798721,0.11469197273254395
alina/88,0.0,705.874843120575,0.1288137435913086
alina/89,0.0,705.874843120575,0.09474682807922363
alina/90,0.03515625,690.5386575460434,0.11918926239013672
alina/91,0.03125,623.2549558877945,0.1067190170288086
alina/92,0.015625,665.0643690824509,0.10671210289001465
alina/93,0.0078125,708.4510734081268,0.1216728687286377
alina/94,0.0078125,688.4583687782288,0.1367025375366211
alina/95,0.01171875,693.5449949502945,0.19947028160095215
alina/96,0.01171875,755.9970098733902,0.20698952674865723
alina/97,0.01953125,645.6778236627579,0.1406416893005371
alina/98,0.015625,638.3409061431885,0.1296536922454834
alina/99,0.0078125,664.840410232544,0.19706964492797852
alina/100,0.03125,591.7365525960922,0.15465927124023438
alina/101,0.01953125,636.342999458313,0.09574294090270996
alina/102,0.00390625,642.4943174123764,0.08776354789733887
alina/103,0.0546875,571.6679614782333,0.10224103927612305
alina/104,0.078125,579.4112327098846,0.11768460273742676
alina/105,0.05078125,575.658195078373,0.11176180839538574
alina/106,0.0625,576.5101230144501,0.13416743278503418
alina/107,0.01171875,653.8432370424271,0.1331770420074463
alina/108,0.01171875,633.162206530571,0.0922696590423584
alina/109,0.01953125,632.5566425323486,0.0997321605682373
alina/110,0.015625,656.9286650419235,0.0887596607208252
alina/111,0.0078125,686.3075981140137,0.08676886558532715
alina/112,0.0078125,597.93550157547,0.11221098899841309
alina/113,0.0078125,699.4896596670151,0.08233642578125
alina/114,0.00390625,667.224968791008,0.09327983856201172
alina/115,0.0078125,602.3760067224503,0.0997307300567627
alina/116,0.01171875,601.3421125411987,0.09474635124206543
alina/117,0.0078125,622.7146562337875,0.10572218894958496
