,m1,m2,m3
photo/book1,0.325,522.5817962646485,0.08829402923583984
photo/book2,0.4,497.6697059631348,0.12583351135253906
photo/book3,0.425,503.3660346984863,0.16803503036499023
photo/book4,0.3,543.6550903320312,0.07899093627929688
photo/book5,0.55,452.97010192871096,0.10384798049926758
photo/book6,0.5,482.3439968109131,0.11995315551757812
photo/book7,0.35,522.0493492126465,0.0739901065826416
photo/book8,0.25,546.4747604370117,0.07993221282958984
photo/book9,0.1,578.9332580566406,0.07579636573791504
photo/book10,0.225,534.8879692077637,0.07678937911987305
photo/book11,0.35,495.2657211303711,0.07332062721252441
photo/book12,0.175,544.821728515625,0.0718085765838623
photo/book13,0.375,511.92616958618163,0.07878994941711426
photo/book14,0.125,584.0827423095703,0.10123920440673828
photo/book15,0.125,566.0232353210449,0.06734204292297363
photo/book16,0.15,567.504182434082,0.06582283973693848
photo/book17,0.025,594.4860786437988,0.07479977607727051
photo/book18,0.025,591.3151649475097,0.09473967552185059
photo/book19,0.05,584.8564826965332,0.08776426315307617
photo/book20,0.35,532.0564392089843,0.0608367919921875
photo/book21,0.05,591.2631996154785,0.06482553482055664
photo/book22,0.025,603.2984794616699,0.0738067626953125
photo/book23,0.325,516.8418601989746,0.0747981071472168
photo/book24,0.175,553.5253234863281,0.0718069076538086
photo/book25,0.175,544.6497535705566,0.0658273696899414
photo/book26,0.25,532.3980651855469,0.059845924377441406
photo/book27,0.25,533.4070068359375,0.06682276725769043
photo/book28,0.175,531.4163269042969,0.0663607120513916
photo/book29,0.0,623.1657234191895,0.06781244277954102
photo/book30,0.125,569.9754859924317,0.05983853340148926
photo/book31,0.05,584.2865394592285,0.0608367919921875
photo/book32,0.15,555.6796173095703,0.06283164024353027
photo/book33,0.125,553.0407463073731,0.06482768058776855
photo/book34,0.25,525.0142318725586,0.07579803466796875
photo/book35,0.025,593.5292320251465,0.07081103324890137
photo/book36,0.15,553.2178810119628,0.09674215316772461
photo/book37,0.125,580.1822639465332,0.060831546783447266
photo/book38,0.1,557.5573608398438,0.057863473892211914
photo/book39,0.075,583.0096374511719,0.06582474708557129
photo/book40,0.0,637.4316474914551,0.05983591079711914
photo/book41,0.1,575.9728591918945,0.06682777404785156
photo/book42,0.125,587.812614440918,0.0648186206817627
photo/book43,0.1,563.6675788879395,0.07480239868164062
photo/book44,0.0,649.0313758850098,0.05285930633544922
photo/book45,0.25,542.1933570861817,0.0608370304107666
photo/book46,0.25,545.3466175079345,0.052860260009765625
photo/book47,0.05,597.3625701904297,0.05880570411682129
photo/book48,0.275,530.591780090332,0.0713338851928711
photo/book49,0.125,596.2113735198975,0.0608363151550293
photo/book50,0.05,631.4660133361816,0.05185437202453613
photo/book51,0.25,617.2119178771973,0.0528564453125
photo/book52,0.125,603.0917762756347,0.0628502368927002
photo/book53,0.05,587.1643760681152,0.05784296989440918
photo/book54,0.1,582.9091316223145,0.05684804916381836
photo/book55,0.025,640.5985023498536,0.05336713790893555
photo/book56,0.1,606.1901329040527,0.058846473693847656
photo/book57,0.175,600.1349433898926,0.06283426284790039
photo/book58,0.3,518.7485790252686,0.05883669853210449
photo/book59,0.0,622.1106025695801,0.058843135833740234
photo/book60,0.175,613.5991973876953,0.05585289001464844
photo/book61,0.0,611.7678237915039,0.04887032508850098
photo/book62,0.15,578.716756439209,0.05635976791381836
photo/book63,0.025,653.2382453918457,0.056839704513549805
photo/book64,0.1,638.1447975158692,0.05185842514038086
photo/book65,0.075,631.5883087158203,0.04488086700439453
photo/book66,0.125,590.2072494506835,0.06083869934082031
photo/book67,0.175,596.9523628234863,0.047873735427856445
photo/book68,0.125,602.0310874938965,0.047860145568847656
photo/book69,0.125,626.0982444763183,0.04687833786010742
photo/book70,0.075,620.7198379516601,0.04587745666503906
photo/book71,0.225,590.119172668457,0.052857398986816406
photo/book72,0.075,599.5890113830567,0.049864768981933594
photo/book73,0.2,546.5728538513183,0.048868656158447266
photo/book74,0.225,549.0644344329834,0.04588651657104492
photo/book75,0.35,495.24228591918944,0.05336618423461914
photo/book76,0.1,584.3574981689453,0.045876502990722656
photo/book77,0.1,579.643034362793,0.046874046325683594
photo/book78,0.25,526.1444301605225,0.06482648849487305
photo/book79,0.0,677.6940170288086,0.03191518783569336
photo/book80,0.2,572.6899879455566,0.045391082763671875
photo/book81,0.225,538.4508712768554,0.039893388748168945
photo/book82,0.1,765.2068405151367,0.04088759422302246
photo/book83,0.275,558.6714866638183,0.04488396644592285
photo/book84,0.4,519.7765316009521,0.046875
photo/book85,0.025,595.0830192565918,0.030918121337890625
photo/book86,0.1,691.6191017150879,0.04688453674316406
photo/book87,0.05,592.5635208129883,0.035902976989746094
photo/book88,0.025,627.9095268249512,0.04685616493225098
photo/book89,0.225,552.263200378418,0.03591346740722656
photo/book90,0.225,539.8168304443359,0.04738306999206543
photo/book91,0.025,608.7611595153809,0.03689455986022949
photo/book92,0.025,644.5632316589356,0.038900136947631836
photo/book93,0.025,757.4955871582031,0.03091716766357422
photo/book94,0.275,520.8198585510254,0.04887509346008301
photo/book95,0.275,528.7843170166016,0.04188704490661621
photo/book96,0.1,672.3741966247559,0.035904645919799805
photo/book97,0.225,538.1432899475097,0.06482625007629395
photo/book98,0.075,584.6737770080566,0.03889632225036621
photo/book99,0.25,548.6659271240235,0.04188871383666992
photo/book100,0.175,551.118675994873,0.04089045524597168
photo/book101,0.15,557.8101699829101,0.03490757942199707
photo/book102,0.25,543.0017684936523,0.03191328048706055
photo/book103,0.275,552.9905731201172,0.03690195083618164
photo/book104,0.05,554.9763214111329,0.04738616943359375
photo/book105,0.2,545.8882354736328,0.04144573211669922
photo/book106,0.15,576.56869430542,0.04088902473449707
photo/book107,0.4,513.3400100708008,0.030918121337890625
photo/book108,0.4,511.0396224975586,0.04188823699951172
photo/book109,0.3,516.3222610473633,0.033908843994140625
